SMILES,Activity binary
CC(C)(C)C(=O)CC(=O)C(C)(C)C,1
C=CCCCCCCCCC=O,1
CCCCCCCCCCCCS,1
CCCCCCCCCCCCCCCC(=O)Cl,1
CCCCCCCCC=CCCCCCCCCCCCC(N)=O,0
CCOc1cc(C=O)ccc1O,0
CCn1c(O)c(CS(=O)(=O)O)c(C)c(N=Nc2ccc(S(=O)(=O)c3ccc(N=Nc4c(C)c(CS(=O)(=O)O)c(O)n(CC)c4=O)cc3)cc2)c1=O,0
CCCC(C)C=O,1
Oc1ccc(O)cc1,1
Oc1ccc(O)[nH]1,0
O=C(O)CS,1
NCC(=O)NC(CCC(N)=O)C(=O)O,0
C=CCCCCCCCC(=O)N(C)C,0
CC(=O)C(=O)CC(C)C,1
C=C(C)C(=O)NC(C)C,0
CCCCCCOc1ccc(C(c2ccccc2)(c2ccccc2)c2ccccc2)cc1OCCCCCC,0
CCOC(=S)S,1
COC1CCC2(CC1)NC(=O)NC2=O,0
CC=CC=CC=O,1
COc1ccc(C2(C#N)CCC(C(=O)O)CC2)cc1OC1CCCC1,0
CC(C)N=C(N)N(C(=N)N)c1ccc(Cl)c(Cl)c1,1
CCOC=C1N=C(c2ccccc2)OC1=O,1
OC1COC2OCCC12,0
C=CC(=O)OC(C)(C)C,1
CCCCCCCCCCCCCCCC(=O)CC(=O)c1ccccc1,0
CCCCCCCCCCCC1=NC(C)(C)C(=O)O1,1
Cc1cc(=O)n(-c2ccc(C)c(C)c2)[nH]1,1
CCCCC(CC)CN(CC(CC)CCCC)CC(CC)CCCC,0
CCOc1ccccc1C(=N)N,0
CC(C)(c1ccccc1)C(C)(C)c1ccccc1,1
CCOC(=O)CC(NCCC[Si](OC)(OC)OC)C(=O)OCC,0
CCc1ccc(CC)c(C(=O)CC(C)=O)c1,1
C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0
CC(C)CC=C(C=O)c1ccccc1,1
CC(=O)C(=NNc1cc(Cl)c(-c2cc(Cl)c(NN=C(C(C)=O)C(=O)Nc3ccc(C)cc3C)cc2Cl)cc1Cl)C(=O)Nc1ccc(C)cc1C,0
